ArtCodigo,Codigo,Unidades2
1031,0003,220
1031,0029,125
1031,0031,308
1031,0036,201
1031,0056,146
1031,0065,21
1031,0066,35
1031,0289,153
1031,0599,84
1031,1066,115
1031,1068,193
1031,1132,127
1031,1230,365
1031,1291,47
1031,1344,53
1031,1389,617
1031,1401,56
1031,1425,338
1031,1426,461
1031,1428,140
1031,1438,110
1031,1439,163
1031,1450,110
1031,1469,353
1031,1478,92
1031,1482,76
1031,1506,450
1031,1507,335
1031,1539,106
1031,1553,224
1031,1584,198
1031,1682,333
1031,1695,91
1031,1716,374
1031,1717,450
1031,1735,216
1031,1736,252
1031,1775,78
1031,1956,202
1032,0003,961
1032,0029,395
1032,0031,1185
1032,0036,334
1032,0056,390
1032,0065,144
1032,0066,238
1032,0289,813
1032,0599,244
1032,1066,450
1032,1068,628
1032,1132,391
1032,1230,837
1032,1291,160
1032,1344,317
1032,1389,1599
1032,1401,211
1032,1425,904
1032,1426,952
1032,1428,310
1032,1438,315
1032,1439,611
1032,1450,574
1032,1469,771
1032,1478,253
1032,1482,261
1032,1506,1236
1032,1507,867
1032,1539,243
1032,1553,488
1032,1584,332
1032,1682,1313
1032,1695,369
1032,1716,1411
1032,1717,631
1032,1735,538
1032,1736,1133
1032,1775,259
1032,1956,568
1075,0003,367
1075,0029,393
1075,0031,845
1075,0036,414
1075,0056,695
1075,0065,88
1075,0066,87
1075,0289,420
1075,0599,291
1075,1066,149
1075,1068,391
1075,1132,279
1075,1230,799
1075,1291,137
1075,1344,172
1075,1389,1200
1075,1401,142
1075,1425,594
1075,1426,779
1075,1428,407
1075,1438,586
1075,1439,524
1075,1450,787
1075,1469,935
1075,1478,259
1075,1482,130
1075,1506,624
1075,1507,892
1075,1539,88
1075,1553,425
1075,1584,310
1075,1682,1199
1075,1695,150
1075,1716,1571
1075,1717,439
1075,1735,318
1075,1736,490
1075,1775,107
1075,1956,299
1079,0003,1116
1079,0029,637
1079,0031,1606
1079,0036,669
1079,0056,486
1079,0065,164
1079,0066,211
1079,0289,989
1079,0599,450
1079,1066,364
1079,1068,755
1079,1132,540
1079,1230,1507
1079,1291,272
1079,1344,254
1079,1389,1906
1079,1401,159
1079,1425,982
1079,1426,1500
1079,1428,449
1079,1438,951
1079,1439,920
1079,1450,751
1079,1469,1601
1079,1478,542
1079,1482,217
1079,1506,1329
1079,1507,1819
1079,1539,309
1079,1553,759
1079,1584,419
1079,1682,1727
1079,1695,388
1079,1716,1668
1079,1717,927
1079,1735,529
1079,1736,1118
1079,1775,323
1079,1956,709
16007,0003,193
16007,0029,192
16007,0031,260
16007,0036,102
16007,0056,134
16007,0065,76
16007,0066,33
16007,0289,281
16007,0599,101
16007,1066,162
16007,1068,165
16007,1132,119
16007,1230,284
16007,1291,118
16007,1344,88
16007,1389,574
16007,1401,88
16007,1425,383
16007,1426,521
16007,1428,142
16007,1438,228
16007,1439,392
16007,1450,151
16007,1469,411
16007,1478,165
16007,1482,108
16007,1506,528
16007,1507,574
16007,1539,51
16007,1553,156
16007,1584,229
16007,1682,316
16007,1695,61
16007,1716,594
16007,1717,224
16007,1735,198
16007,1736,278
16007,1775,88
16007,1956,236
16039,0003,100
16039,0029,47
16039,0031,89
16039,0036,31
16039,0056,46
16039,0065,15
16039,0066,21
16039,0289,38
16039,0599,41
16039,1066,20
16039,1068,59
16039,1132,54
16039,1230,73
16039,1291,20
16039,1344,22
16039,1389,57
16039,1401,33
16039,1425,67
16039,1426,124
16039,1428,55
16039,1438,68
16039,1439,83
16039,1450,50
16039,1469,98
16039,1478,50
16039,1482,14
16039,1506,103
16039,1507,114
16039,1539,15
16039,1553,32
16039,1584,70
16039,1682,107
16039,1695,17
16039,1716,143
16039,1717,108
16039,1735,37
16039,1736,79
16039,1775,20
16039,1956,34
16329,0003,312
16329,0029,212
16329,0031,533
16329,0056,287
16329,0065,29
16329,0066,91
16329,0289,281
16329,0599,155
16329,1066,121
16329,1068,246
16329,1132,224
16329,1230,523
16329,1291,134
16329,1344,126
16329,1389,631
16329,1401,94
16329,1425,487
16329,1426,673
16329,1428,205
16329,1438,293
16329,1439,346
16329,1450,260
16329,1469,634
16329,1478,180
16329,1482,120
16329,1506,653
16329,1507,503
16329,1539,125
16329,1553,294
16329,1584,252
16329,1682,701
16329,1695,146
16329,1716,657
16329,1717,344
16329,1735,197
16329,1736,385
16329,1775,203
16329,1956,260
16330,0003,105
16330,0029,75
16330,0031,204
16330,0036,52
16330,0056,159
16330,0065,15
16330,0066,16
16330,0289,63
16330,0599,73
16330,1066,30
16330,1068,78
16330,1132,47
16330,1230,152
16330,1291,29
16330,1344,44
16330,1389,221
16330,1401,31
16330,1425,124
16330,1426,211
16330,1428,135
16330,1438,125
16330,1439,96
16330,1450,84
16330,1469,180
16330,1478,66
16330,1482,17
16330,1506,213
16330,1507,136
16330,1539,17
16330,1553,105
16330,1584,82
16330,1682,128
16330,1695,32
16330,1716,245
16330,1717,122
16330,1735,54
16330,1736,105
16330,1775,24
16330,1956,98
17286,0003,87
17286,0029,21
17286,0031,58
17286,0036,38
17286,0056,14
17286,0066,10
17286,0289,38
17286,0599,21
17286,1066,10
17286,1068,47
17286,1132,31
17286,1230,59
17286,1291,19
17286,1344,13
17286,1389,68
17286,1401,21
17286,1425,81
17286,1426,92
17286,1428,25
17286,1438,34
17286,1439,31
17286,1450,33
17286,1469,58
17286,1478,39
17286,1506,113
17286,1507,80
17286,1539,10
17286,1553,34
17286,1584,52
17286,1682,48
17286,1695,9
17286,1716,139
17286,1717,70
17286,1735,40
17286,1736,72
17286,1775,20
17286,1956,49
17297,0003,88
17297,0029,49
17297,0031,113
17297,0056,48
17297,0065,16
17297,0066,34
17297,0289,76
17297,0599,70
17297,1066,32
17297,1068,70
17297,1132,43
17297,1230,100
17297,1291,36
17297,1344,27
17297,1389,268
17297,1401,15
17297,1425,136
17297,1426,206
17297,1428,66
17297,1438,71
17297,1439,88
17297,1450,50
17297,1469,175
17297,1478,54
17297,1482,26
17297,1506,152
17297,1507,115
17297,1539,39
17297,1553,33
17297,1584,59
17297,1682,189
17297,1695,70
17297,1716,143
17297,1717,88
17297,1735,93
17297,1736,124
17297,1775,79
17297,1956,60
17299,0003,23
17299,0029,15
17299,0031,51
17299,0056,52
17299,0065,26
17299,0066,14
17299,0289,13
17299,0599,52
17299,1066,15
17299,1068,24
17299,1132,19
17299,1230,50
17299,1291,15
17299,1344,23
17299,1389,30
17299,1401,18
17299,1425,34
17299,1426,65
17299,1428,76
17299,1438,57
17299,1439,26
17299,1450,23
17299,1469,31
17299,1478,21
17299,1482,8
17299,1506,52
17299,1507,25
17299,1539,6
17299,1553,48
17299,1584,9
17299,1682,35
17299,1695,15
17299,1716,76
17299,1717,21
17299,1735,13
17299,1736,18
17299,1775,15
17299,1956,17
17569,0003,61
17569,0029,28
17569,0031,89
17569,0056,49
17569,0065,10
17569,0066,22
17569,0289,33
17569,0599,44
17569,1066,22
17569,1068,40
17569,1132,29
17569,1230,65
17569,1291,25
17569,1344,19
17569,1389,53
17569,1401,18
17569,1425,73
17569,1426,72
17569,1428,38
17569,1438,56
17569,1439,45
17569,1450,17
17569,1469,62
17569,1478,15
17569,1482,14
17569,1506,67
17569,1507,62
17569,1539,12
17569,1553,82
17569,1584,42
17569,1682,63
17569,1695,17
17569,1716,75
17569,1717,44
17569,1735,38
17569,1736,66
17569,1775,15
17569,1956,32
17571,0003,134
17571,0029,70
17571,0031,161
17571,0056,106
17571,0065,21
17571,0066,59
17571,0289,114
17571,0599,67
17571,1066,31
17571,1068,75
17571,1132,81
17571,1230,173
17571,1291,58
17571,1344,37
17571,1389,101
17571,1401,30
17571,1425,126
17571,1426,257
17571,1428,56
17571,1438,109
17571,1439,146
17571,1450,64
17571,1469,144
17571,1478,45
17571,1482,20
17571,1506,193
17571,1507,198
17571,1539,30
17571,1553,172
17571,1584,61
17571,1682,107
17571,1695,63
17571,1716,142
17571,1717,142
17571,1735,43
17571,1736,107
17571,1775,49
17571,1956,89
17572,0003,134
17572,0029,65
17572,0031,196
17572,0056,169
17572,0065,19
17572,0066,44
17572,0289,85
17572,0599,56
17572,1066,39
17572,1068,106
17572,1132,55
17572,1230,175
17572,1291,34
17572,1344,62
17572,1389,93
17572,1401,64
17572,1425,119
17572,1426,196
17572,1428,56
17572,1438,121
17572,1439,117
17572,1450,70
17572,1469,140
17572,1478,54
17572,1482,32
17572,1506,178
17572,1507,171
17572,1539,34
17572,1553,141
17572,1584,60
17572,1682,107
17572,1695,48
17572,1716,125
17572,1717,72
17572,1735,47
17572,1736,100
17572,1775,34
17572,1956,61
17596,0065,46
17596,0066,24
17596,1344,59
17596,1389,120
17596,1450,84
17596,1682,83
17596,1735,58
17596,1736,51
17596,1775,34
17597,0003,283
17597,0029,263
17597,0031,415
17597,0036,152
17597,0056,246
17597,0065,187
17597,0066,247
17597,0289,283
17597,0599,151
17597,1066,122
17597,1068,378
17597,1132,211
17597,1230,324
17597,1291,167
17597,1344,272
17597,1389,2484
17597,1401,56
17597,1425,445
17597,1426,776
17597,1428,232
17597,1438,373
17597,1439,336
17597,1450,640
17597,1469,617
17597,1478,141
17597,1482,95
17597,1506,675
17597,1507,365
17597,1539,139
17597,1553,359
17597,1584,65
17597,1682,2052
17597,1695,129
17597,1716,610
17597,1717,316
17597,1735,908
17597,1736,1330
17597,1775,528
17597,1956,264
17750,0029,45000
17750,0056,16000
17750,0289,142000
17750,0599,16000
17750,1132,63000
17750,1230,1000
17750,1291,96000
17750,1344,35000
17750,1389,80000
17750,1425,262000
17750,1426,200000
17750,1438,121000
17750,1439,153000
17750,1450,90000
17750,1469,81000
17750,1478,103000
17750,1506,174000
17750,1507,165000
17750,1539,54000
17750,1553,42000
17750,1584,1105000
17750,1682,110000
17750,1716,295000
17750,1717,190000
17750,1735,108000
17750,1736,213000
17750,1775,103000
17750,1956,185000
17958,0003,103
17958,0029,76
17958,0031,151
17958,0036,116
17958,0056,70
17958,0065,13
17958,0066,14
17958,0289,71
17958,0599,35
17958,1066,30
17958,1068,97
17958,1132,46
17958,1230,115
17958,1291,45
17958,1344,14
17958,1389,86
17958,1401,15
17958,1425,118
17958,1426,178
17958,1428,39
17958,1438,58
17958,1439,124
17958,1450,28
17958,1469,112
17958,1478,64
17958,1482,12
17958,1506,180
17958,1507,185
17958,1539,51
17958,1553,155
17958,1584,49
17958,1682,58
17958,1695,48
17958,1716,143
17958,1717,92
17958,1735,35
17958,1736,55
17958,1775,43
17958,1956,69
17959,0003,232
17959,0029,172
17959,0031,199
17959,0036,127
17959,0056,148
17959,0065,43
17959,0066,44
17959,0289,158
17959,0599,86
17959,1066,79
17959,1068,220
17959,1132,87
17959,1230,254
17959,1291,106
17959,1344,55
17959,1389,155
17959,1401,77
17959,1425,281
17959,1426,458
17959,1428,120
17959,1438,174
17959,1439,246
17959,1450,101
17959,1469,225
17959,1478,143
17959,1482,43
17959,1506,420
17959,1507,425
17959,1539,101
17959,1553,271
17959,1584,115
17959,1682,150
17959,1695,107
17959,1716,338
17959,1717,213
17959,1735,70
17959,1736,149
17959,1775,85
17959,1956,143
17971,0003,67
17971,0029,12
17971,0031,44
17971,0036,27
17971,0056,20
17971,0065,5
